year_sbpro,inst_norm,nbc_norm,crossed_n,inst_name,is_unimagdalena,point_type,point_label,sb11_global_mean,sbpro_global_mean
2020,UNIVERSIDAD SANTIAGO DE CALI-PALMIRA,,36,UNIVERSIDAD SANTIAGO DE CALI-PALMIRA,false,other_university,UNIVERSIDAD SANTIAGO DE CALI-PALMIRA,266.44444444444446,134.44444444444446
2020,FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTA D.C.,,2159,FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,false,other_university,FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,266.4779990736452,141.57295044001853
2020,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,,429,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,false,other_university,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,266.6177156177156,142.6876456876457
2020,UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,,672,UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,false,other_university,UNIVERSIDAD POPULAR DEL CESAR-VALLEDUPAR,266.875,144.8095238095238
2020,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-BOGOTA D.C.,,358,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-BOGOTÁ D.C.,false,other_university,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-BOGOTÁ D.C.,267.20949720670393,142.91340782122904
2020,FUNDACION UNIVERSITARIA MARIA CANO-MEDELLIN,,283,FUNDACION UNIVERSITARIA MARIA CANO-MEDELLIN,false,other_university,FUNDACION UNIVERSITARIA MARIA CANO-MEDELLIN,267.81625441696116,144.14134275618375
2020,UNIVERSIDAD DEL SINU 'ELIAS BECHARA ZAINUM' - UNISINU-MONTERIA,,405,UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,false,other_university,UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,267.8320987654321,140.4864197530864
2020,UNIVERSIDAD SERGIO ARBOLEDA-SANTA MARTA,,160,UNIVERSIDAD SERGIO ARBOLEDA-SANTA MARTA,false,other_university,UNIVERSIDAD SERGIO ARBOLEDA-SANTA MARTA,267.91875,154.75
2020,UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN,,211,UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN,false,other_university,UNIVERSIDAD COOPERATIVA DE COLOMBIA-MEDELLIN,268.1042654028436,141.88151658767774
2020,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BARRANCABERMEJA,,66,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BARRANCABERMEJA,false,other_university,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BARRANCABERMEJA,268.8333333333333,140.63636363636363
2020,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION-BOGOTA D.C.,,78,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION-BOGOTÁ D.C.,false,other_university,FUNDACION ESCUELA COLOMBIANA DE REHABILITACION-BOGOTÁ D.C.,269.2435897435897,146.55128205128204
2020,UNIVERSIDAD SANTIAGO DE CALI-CALI,,693,UNIVERSIDAD SANTIAGO DE CALI-CALI,false,other_university,UNIVERSIDAD SANTIAGO DE CALI-CALI,269.3795093795094,142.65656565656565
2020,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-GIRARDOT,,149,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-GIRARDOT,false,other_university,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-GIRARDOT,269.5771812080537,145.23489932885906
2020,CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,,84,CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,false,other_university,CORPORACION UNIVERSITARIA DEL META-VILLAVICENCIO,269.5952380952381,143.23809523809524
2020,DIRECCION NACIONAL DE ESCUELAS-BOGOTA D.C.,,136,DIRECCION NACIONAL DE ESCUELAS-BOGOTÁ D.C.,false,other_university,DIRECCION NACIONAL DE ESCUELAS-BOGOTÁ D.C.,270.0735294117647,129.24264705882354
2020,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,,267,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,false,other_university,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,270.25468164794006,149.20599250936328
2020,FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM-MEDELLIN,,688,FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM-MEDELLIN,false,other_university,FUNDACION UNIVERSITARIA LUIS AMIGO FUNLAM-MEDELLIN,270.48837209302326,148.05232558139534
2020,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCANA,,316,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,false,other_university,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-OCAÑA,270.8481012658228,145.38291139240508
